Year,StudentID,Name,Branch,CGPA,Skills,Company,Package,Status,Placed_Date,Backlogs,Attendance,Hackathons,Sports,Papers,Conferences,Internships,Clubs,Semester,Maths,DSA,OS,DBMS,AI,Student_Rank,Min_Rank_For_Interview,Placement_Probability_%,Resume_Score,Eligible_For_Interview
2015,2015_S1,Aarav Mehta,CIVIL,7.42,"Java, Cloud Computing, DevOps",Swiggy,2529084,Placed,11/8/2015,0,95,1,1,1,1,2,0,8,70,81,80,66,77,400,4,80.2,29,FALSE
2015,2015_S1,Aarav Mehta,CIVIL,7.42,"Java, Cloud Computing, DevOps",Cognizant India,410268,Placed,5/7/2015,0,92,1,2,1,1,0,2,1,67,67,81,64,80,359,4,74.2,23,FALSE
2015,2015_S2,Vivaan Iyer,CIVIL,7.69,"Artificial Intelligence, SQL, Cyber Security",Swiggy,1870006,Placed,11/11/2015,0,88,1,2,0,2,2,2,6,66,84,83,82,66,346,4,82.9,31,FALSE
2015,2015_S2,Vivaan Iyer,CIVIL,7.69,"Artificial Intelligence, SQL, Cyber Security",Intel India,2572355,Rejected,,0,95,2,1,2,2,1,3,2,83,67,75,77,82,404,4,79.9,49,FALSE
2015,2015_S3,Aditya Rao,MECH,6.54,"Java, SQL, Data Analytics",Oracle India,2438242,Placed,6/21/2015,0,80,1,1,0,1,1,2,3,64,68,59,74,67,20,4,68.4,21,TRUE
2015,2015_S3,Aditya Rao,MECH,6.54,"Java, SQL, Data Analytics",PolicyBazaar,1087201,Rejected,,0,88,3,1,2,2,2,3,6,73,61,62,70,64,467,4,71.4,60,FALSE
2015,2015_S4,Arjun Reddy,DS,8.74,"Python, Machine Learning, Java",PhonePe,627069,Placed,6/2/2015,0,90,3,1,1,2,2,0,2,94,84,90,77,84,302,4,93.4,43,FALSE
2015,2015_S4,Arjun Reddy,DS,8.74,"Python, Machine Learning, Java",Accenture India,1091743,Rejected,,0,81,2,0,0,1,2,2,2,90,80,80,89,90,398,4,93.4,32,FALSE
2015,2015_S5,Sai Karthik,IT,9.77,"SQL, Cyber Security, DevOps",Mahindra & Mahindra,1562752,Placed,12/26/2015,1,88,1,0,0,0,2,3,1,95,94,89,95,95,131,4,98.7,26,FALSE
2015,2015_S5,Sai Karthik,IT,9.77,"SQL, Cyber Security, DevOps",HCL Technologies,1770485,Placed,12/25/2015,0,87,1,1,1,1,2,1,4,95,95,95,88,95,366,4,100,32,FALSE
2015,2015_S6,Rohan Kulkarni,IT,7.11,"DevOps, Cyber Security, SQL",Larsen & Toubro,2553882,Rejected,,0,84,3,2,0,1,1,2,2,74,73,65,68,69,323,4,74.1,31,FALSE
2015,2015_S6,Rohan Kulkarni,IT,7.11,"DevOps, Cyber Security, SQL",Deloitte India,2219486,Placed,10/16/2015,0,91,3,2,0,0,2,2,7,81,77,61,67,62,238,4,77.1,33,FALSE
2015,2015_S7,Vikram Shetty,MECH,6.88,"Python, SQL, Data Analytics",PhonePe,384654,Rejected,,0,85,0,0,1,0,2,0,8,66,70,68,73,71,201,4,74.8,20,FALSE
2015,2015_S7,Vikram Shetty,MECH,6.88,"Python, SQL, Data Analytics",Harman India,1253277,Placed,3/12/2015,0,82,3,0,2,2,0,2,3,64,66,58,71,76,23,4,68.8,45,TRUE
2015,2015_S8,Yash Patel,CSE,7.95,"Data Analytics, Python, Cloud Computing",Qualcomm India,2670690,Placed,5/19/2015,0,79,2,2,0,1,1,0,1,86,70,76,72,70,430,4,82.5,20,FALSE
2015,2015_S8,Yash Patel,CSE,7.95,"Data Analytics, Python, Cloud Computing",Infosys,1605416,Placed,7/18/2015,0,75,2,2,2,0,1,0,8,81,85,88,73,84,414,4,82.5,32,FALSE
2015,2015_S9,Krishna Nair,AI,9.61,"Data Analytics, Machine Learning, Artificial Intelligence",Infosys,1765689,Rejected,,1,96,1,0,0,0,2,0,6,86,95,87,93,95,262,4,97.1,17,FALSE
2015,2015_S9,Krishna Nair,AI,9.61,"Data Analytics, Machine Learning, Artificial Intelligence",Google India,368148,Attended,,0,89,2,1,2,2,2,3,2,95,94,95,95,95,333,4,100,55,FALSE
2015,2015_S10,Harsha Verma,MECH,6.88,"Artificial Intelligence, SQL, Python",Google India,556508,Placed,8/15/2015,1,90,0,1,2,1,2,0,5,72,72,62,78,75,363,4,69.8,32,FALSE
2015,2015_S10,Harsha Verma,MECH,6.88,"Artificial Intelligence, SQL, Python",Ola,2503682,Rejected,,0,86,2,2,1,1,0,0,5,76,77,76,69,77,121,4,68.8,22,FALSE
2015,2015_S11,Rahul Naidu,CSE,9.46,"Web Development, Artificial Intelligence, Cloud Computing",Tech Mahindra,2073415,Rejected,,0,91,2,2,1,2,2,0,6,92,86,95,85,95,13,3,100,38,TRUE
2015,2015_S11,Rahul Naidu,CSE,9.46,"Web Development, Artificial Intelligence, Cloud Computing",Harman India,2355555,Placed,2/6/2015,0,90,2,1,1,0,0,1,7,95,95,92,88,95,471,4,94.6,21,FALSE
2015,2015_S12,Tejas Deshmukh,IT,6.79,"Cyber Security, SQL, Java",Infosys BPM,1663715,Attended,,1,75,3,1,2,1,2,2,7,63,69,64,59,58,266,4,68.9,53,FALSE
2015,2015_S12,Tejas Deshmukh,IT,6.79,"Cyber Security, SQL, Java",IBM India,1520405,Rejected,,0,91,1,1,2,0,1,0,2,73,67,77,71,69,267,4,70.9,27,FALSE
2015,2015_S13,Manoj Sharma,IT,6.12,"Cyber Security, Java, SQL",Intel India,2395505,Placed,10/12/2015,0,94,3,0,1,1,0,3,7,70,55,56,65,55,261,4,61.2,36,FALSE
2015,2015_S13,Manoj Sharma,IT,6.12,"Cyber Security, Java, SQL",HCL Technologies,496769,Rejected,,0,84,0,1,2,2,0,3,7,69,65,64,63,55,436,4,61.2,33,FALSE
2015,2015_S14,Siddharth Joshi,EEE,7.5,"Data Analytics, Python, Artificial Intelligence",Paytm,1346797,Placed,8/14/2015,0,82,2,2,1,0,2,2,8,73,77,67,66,74,10,4,81,36,TRUE
2015,2015_S14,Siddharth Joshi,EEE,7.5,"Data Analytics, Python, Artificial Intelligence",DRDO Contractor,1702107,Placed,9/8/2015,0,80,2,2,0,1,1,2,7,72,73,66,68,65,221,4,78,26,FALSE
2015,2015_S15,Kunal Gupta,ECE,9.21,"Java, Artificial Intelligence, Cloud Computing",Tech Mahindra,1372876,Rejected,,0,95,1,1,0,2,1,3,1,88,95,95,95,94,370,3,95.1,28,FALSE
2015,2015_S15,Kunal Gupta,ECE,9.21,"Java, Artificial Intelligence, Cloud Computing",Havells,1622905,Rejected,,0,88,2,0,1,0,2,3,2,89,95,86,90,95,160,4,98.1,39,FALSE
2015,2015_S16,Neeraj Singh,EEE,9.67,"Data Analytics, Cloud Computing, Artificial Intelligence",Deloitte India,1585160,Placed,1/25/2015,1,94,2,0,1,1,1,2,6,95,86,95,95,92,292,4,94.7,34,FALSE
2015,2015_S16,Neeraj Singh,EEE,9.67,"Data Analytics, Cloud Computing, Artificial Intelligence",Freshworks,2700070,Attended,,0,92,2,0,1,0,2,0,1,92,95,95,95,95,495,4,100,30,FALSE
2015,2015_S17,Anirudh Bhat,CSE,7.61,"Python, Web Development, Cyber Security",PolicyBazaar,1804384,Placed,12/8/2015,0,81,2,1,2,0,2,2,5,86,84,78,82,73,64,4,82.1,44,FALSE
2015,2015_S17,Anirudh Bhat,CSE,7.61,"Python, Web Development, Cyber Security",Nykaa,2052126,Placed,11/19/2015,0,96,0,2,0,1,0,0,4,70,71,67,76,69,210,4,76.1,4,FALSE
2015,2015_S18,Varun Malhotra,CSE,8.69,"Cloud Computing, Web Development, Data Analytics",Indian Oil Corporation,2411138,Rejected,,0,95,0,0,0,0,2,2,5,89,88,92,86,88,382,4,92.9,18,FALSE
2015,2015_S18,Varun Malhotra,CSE,8.69,"Cloud Computing, Web Development, Data Analytics",Infosys,886146,Placed,1/27/2015,0,83,1,0,0,0,1,2,1,79,79,77,77,95,232,4,89.9,17,FALSE
2015,2015_S19,Pranav Mishra,ECE,6.28,"DevOps, Machine Learning, Java",Reliance Jio,588998,Attended,,1,84,2,0,1,2,2,1,2,59,60,62,60,60,169,4,63.8,41,FALSE
2015,2015_S19,Pranav Mishra,ECE,6.28,"DevOps, Machine Learning, Java",Siemens India,2143400,Attended,,0,82,3,2,0,2,0,0,1,55,60,70,59,60,92,4,62.8,23,FALSE
2015,2015_S20,Nikhil Das,CIVIL,8.37,"DevOps, Python, Web Development",Samsung R&D India,651279,Rejected,,1,98,3,0,1,0,2,3,3,78,81,82,92,78,186,4,84.7,44,FALSE
2015,2015_S20,Nikhil Das,CIVIL,8.37,"DevOps, Python, Web Development",IBM India,2170230,Rejected,,0,88,2,0,0,1,0,1,7,83,77,82,84,76,50,4,83.7,17,FALSE
2015,2015_S21,Ananya Kapoor,IT,8.54,"Web Development, Python, SQL",Nykaa,789570,Rejected,,0,94,2,0,1,0,2,3,6,76,92,76,85,85,452,4,91.4,39,FALSE
2015,2015_S21,Ananya Kapoor,IT,8.54,"Web Development, Python, SQL",Adani Group,2350731,Rejected,,0,97,2,1,1,2,0,1,6,91,83,83,91,89,430,4,85.4,29,FALSE
2015,2015_S22,Saanvi Reddy,EEE,8.42,"Cloud Computing, Data Analytics, DevOps",Nykaa,2421690,Placed,3/1/2015,0,85,2,1,2,1,0,2,8,85,88,85,94,75,440,4,84.2,36,FALSE
2015,2015_S22,Saanvi Reddy,EEE,8.42,"Cloud Computing, Data Analytics, DevOps",ISRO Contractor,791234,Attended,,0,92,1,0,0,2,2,1,7,86,90,83,86,77,97,4,90.2,28,FALSE
2015,2015_S23,Diya Sharma,ECE,6.45,"SQL, Artificial Intelligence, DevOps",Qualcomm India,1821101,Attended,,0,76,0,2,0,0,1,0,5,60,55,55,65,60,78,4,67.5,6,FALSE
2015,2015_S23,Diya Sharma,ECE,6.45,"SQL, Artificial Intelligence, DevOps",Freshworks,1506914,Rejected,,0,86,0,0,2,1,2,0,8,70,68,59,73,68,392,4,70.5,32,FALSE
2015,2015_S24,Meera Iyer,CSE,8.89,"Python, Artificial Intelligence, Data Analytics",Harman India,2272990,Rejected,,0,75,0,1,0,2,1,0,6,95,85,90,78,95,58,4,91.9,14,FALSE
2015,2015_S24,Meera Iyer,CSE,8.89,"Python, Artificial Intelligence, Data Analytics",Capgemini India,1197421,Placed,7/27/2015,0,98,1,0,1,0,1,2,7,87,92,83,82,95,106,4,91.9,25,FALSE
2015,2015_S25,Riya Verma,CSE,7.99,"Java, Python, DevOps",NVIDIA India,2616121,Placed,10/13/2015,0,84,0,2,0,1,2,2,7,74,87,72,75,87,329,4,85.9,22,FALSE
2015,2015_S25,Riya Verma,CSE,7.99,"Java, Python, DevOps",Infosys,2650770,Rejected,,0,85,1,1,2,1,0,1,6,72,84,76,72,81,342,4,79.9,28,FALSE
2015,2015_S26,Sneha Nair,EEE,6.12,"DevOps, Cloud Computing, Data Analytics",Mindtree,1174371,Rejected,,1,76,1,2,0,0,2,0,8,68,58,60,55,61,283,4,62.2,17,FALSE
2015,2015_S26,Sneha Nair,EEE,6.12,"DevOps, Cloud Computing, Data Analytics",Microsoft India,1759933,Attended,,0,86,0,0,2,2,2,2,4,60,65,60,56,56,227,4,67.2,42,FALSE
2015,2015_S27,Lavanya Rao,ECE,6.53,"Artificial Intelligence, Data Analytics, Cyber Security",Deloitte India,1273548,Placed,11/4/2015,1,98,1,0,2,1,1,3,3,57,72,68,55,56,127,4,63.3,40,FALSE
2015,2015_S27,Lavanya Rao,ECE,6.53,"Artificial Intelligence, Data Analytics, Cyber Security",Tata Elxsi,2321900,Attended,,0,76,0,2,0,2,2,0,8,67,69,60,56,59,83,4,71.3,20,FALSE
2015,2015_S28,Tanvi Kulkarni,IT,6.29,"Artificial Intelligence, Web Development, Java",Nykaa,2228434,Placed,6/2/2015,0,94,3,2,0,2,2,3,8,71,65,56,55,66,419,4,68.9,44,FALSE
2015,2015_S28,Tanvi Kulkarni,IT,6.29,"Artificial Intelligence, Web Development, Java",Mindtree,1719945,Placed,9/21/2015,0,80,0,0,1,1,1,2,5,67,71,55,55,65,483,4,65.9,24,FALSE
2015,2015_S29,Ishita Patel,EEE,9.31,"DevOps, SQL, Web Development",Microsoft India,500235,Rejected,,0,92,3,0,2,2,0,2,2,87,95,83,93,84,299,4,93.1,45,FALSE
2015,2015_S29,Ishita Patel,EEE,9.31,"DevOps, SQL, Web Development",KPMG India,2423091,Placed,11/26/2015,0,83,3,2,0,1,0,2,1,90,93,95,95,95,263,4,93.1,25,FALSE
2015,2015_S30,Kavya Gupta,DS,6.46,"Cyber Security, Artificial Intelligence, Java",Amazon India,2784413,Placed,1/1/2015,0,87,1,2,2,2,0,1,6,68,72,73,68,72,224,4,64.6,32,FALSE
