Year,StudentID,Name,Branch,CGPA,Skills,Company,Package,Status,Placed_Date
2015,2015_S1,Sai Desai,CIVIL,7.42,"Java, Cloud Computing, DevOps",Swiggy,2529084,Placed,2015-11-08
2015,2015_S1,Sai Desai,CIVIL,7.42,"Java, Cloud Computing, DevOps",Cognizant India,410268,Placed,2015-05-07
2015,2015_S2,Rahul Menon,CIVIL,7.69,"Artificial Intelligence, SQL, Cyber Security",Swiggy,1870006,Placed,2015-11-11
2015,2015_S2,Rahul Menon,CIVIL,7.69,"Artificial Intelligence, SQL, Cyber Security",Intel India,2572355,Rejected,
2015,2015_S3,Aishwarya Ghosh,MECH,6.54,"Java, SQL, Data Analytics",Oracle India,2438242,Placed,2015-06-21
2015,2015_S3,Aishwarya Ghosh,MECH,6.54,"Java, SQL, Data Analytics",PolicyBazaar,1087201,Rejected,
2015,2015_S4,Vikram Verma,DS,8.74,"Python, Machine Learning, Java",PhonePe,627069,Placed,2015-06-02
2015,2015_S4,Vikram Verma,DS,8.74,"Python, Machine Learning, Java",Accenture India,1091743,Rejected,
2015,2015_S5,Pooja Rao,IT,9.77,"SQL, Cyber Security, DevOps",Mahindra & Mahindra,1562752,Placed,2015-12-26
2015,2015_S5,Pooja Rao,IT,9.77,"SQL, Cyber Security, DevOps",HCL Technologies,1770485,Placed,2015-12-25
2015,2015_S6,Arjun Sharma,IT,7.11,"DevOps, Cyber Security, SQL",Larsen & Toubro,2553882,Rejected,
2015,2015_S6,Arjun Sharma,IT,7.11,"DevOps, Cyber Security, SQL",Deloitte India,2219486,Placed,2015-10-16
2015,2015_S7,Ishita Pillai,MECH,6.88,"Python, SQL, Data Analytics",PhonePe,384654,Rejected,
2015,2015_S7,Ishita Pillai,MECH,6.88,"Python, SQL, Data Analytics",Harman India,1253277,Placed,2015-03-12
2015,2015_S8,Krishna Pillai,CSE,7.95,"Data Analytics, Python, Cloud Computing",Qualcomm India,2670690,Placed,2015-05-19
2015,2015_S8,Krishna Pillai,CSE,7.95,"Data Analytics, Python, Cloud Computing",Infosys,1605416,Placed,2015-07-18
2015,2015_S9,Aarav Menon,AI,9.61,"Data Analytics, Machine Learning, Artificial Intelligence",Infosys,1765689,Rejected,
2015,2015_S9,Aarav Menon,AI,9.61,"Data Analytics, Machine Learning, Artificial Intelligence",Google India,368148,Attended,
2015,2015_S10,Vikram Rao,MECH,6.88,"Artificial Intelligence, SQL, Python",Google India,556508,Placed,2015-08-15
2015,2015_S10,Vikram Rao,MECH,6.88,"Artificial Intelligence, SQL, Python",Ola,2503682,Rejected,
2015,2015_S11,Karthik Yadav,CSE,9.46,"Web Development, Artificial Intelligence, Cloud Computing",Tech Mahindra,2073415,Rejected,
2015,2015_S11,Karthik Yadav,CSE,9.46,"Web Development, Artificial Intelligence, Cloud Computing",Harman India,2355555,Placed,2015-02-06
2015,2015_S12,Karthik Rao,IT,6.79,"Cyber Security, SQL, Java",Infosys BPM,1663715,Attended,
2015,2015_S12,Karthik Rao,IT,6.79,"Cyber Security, SQL, Java",IBM India,1520405,Rejected,
2015,2015_S13,Vivaan Menon,IT,6.12,"Cyber Security, Java, SQL",Intel India,2395505,Placed,2015-10-12
2015,2015_S13,Vivaan Menon,IT,6.12,"Cyber Security, Java, SQL",HCL Technologies,496769,Rejected,
2015,2015_S14,Rahul Joshi,EEE,7.5,"Data Analytics, Python, Artificial Intelligence",Paytm,1346797,Placed,2015-08-14
2015,2015_S14,Rahul Joshi,EEE,7.5,"Data Analytics, Python, Artificial Intelligence",DRDO Contractor,1702107,Placed,2015-09-08
2015,2015_S15,Vivaan Singh,ECE,9.21,"Java, Artificial Intelligence, Cloud Computing",Tech Mahindra,1372876,Rejected,
2015,2015_S15,Vivaan Singh,ECE,9.21,"Java, Artificial Intelligence, Cloud Computing",Havells,1622905,Rejected,
2015,2015_S16,Sai Ghosh,EEE,9.67,"Data Analytics, Cloud Computing, Artificial Intelligence",Deloitte India,1585160,Placed,2015-01-25
