StudentID,Name,Gender,DOB,Email,Phone,Branch,Year,CGPA,Skills,Hackathons,Papers,Conferences,Sports,Clubs,Internships,Resume_Score,GitHub_Score,LeetCode_Rating,Placement_Probability,Father,Mother,Address
1,Abdul Lalla,Male,2004-02-12,gopalrayaan@example.net,+911636248602,Computer Science & Engineering (CSE),2016,8.84,"Python,Java,Data Science,DevOps,C++",3,0,0,3,1,2,69,84,1411,0.75,Timothy Memon,Divya Vala,"710
Mann Circle
Khora -534876"
2,Daksha Shenoy,Male,2007-07-25,ubika91@example.org,00889915624,Computer Science & Engineering (CSE),2016,6.11,"Cloud Computing,Cybersecurity,AWS,IoT,C++",3,2,0,0,1,1,82,98,1502,0.49,Shaurya Arora,Yamini Bhardwaj,"090, Dugar Circle
Dibrugarh 715471"
3,Aahana Prabhu,Female,2006-02-02,dayaladvay@example.org,1442786322,Computer Science & Engineering (CSE),2016,9.4,"Python,Blockchain,IoT,Deep Learning,Docker",4,0,2,3,4,2,63,40,878,0.49,Omya Chokshi,Wishi Seth,"H.No. 224, Prashad Marg
Ahmednagar 497681"
4,Shravya Ranganathan,Female,2004-08-14,omishazacharia@example.com,1208821498,Computer Science & Engineering (CSE),2016,8.86,"Linux,Deep Learning,Blockchain,Machine Learning,Python",2,2,0,1,1,1,67,10,1520,0.45,Chavvi Bhasin,Omkaar Chandra,"H.No. 424
Yohannan Ganj, Sagar 143463"
5,Gautami Sunder,Female,2002-04-20,hkibe@example.org,00050831708,Computer Science & Engineering (CSE),2016,8.4,"NodeJS,Blockchain,Python,C++,React",1,3,2,3,2,2,81,57,1217,0.56,Shivansh Dugar,Amol Thaman,"H.No. 180
Pau Nagar, Raichur-973004"
6,Pooja Jhaveri,Female,2005-01-15,chaudhariraghav@example.org,6566259918,Computer Science & Engineering (CSE),2016,7.41,"Machine Learning,Python,Docker,TensorFlow,Blockchain",3,0,2,1,4,1,82,86,1205,0.8,Bhanumati Munshi,Bina Parekh,"H.No. 95
Saran Chowk, Rourkela-044610"
7,Omkaar Venkatesh,Female,2004-08-28,hnaik@example.com,8817583748,Computer Science & Engineering (CSE),2016,7.12,"TensorFlow,IoT,Linux,DevOps,Python",4,0,0,2,4,0,71,31,1335,0.8,Meghana Yadav,Jeet Baria,"71/436
Bhatia, Delhi 766417"
8,Bachittar Kuruvilla,Male,2003-04-22,yachanashukla@example.com,07282909662,Computer Science & Engineering (CSE),2016,7.07,"Docker,Cloud Computing,DevOps,Kubernetes,SQL",5,1,0,1,1,0,72,33,1711,0.58,Reva Ram,Gabriel Dave,"26/24, Savant Chowk
Guntakal-793968"
9,Pushti Salvi,Male,2004-08-13,kaichawla@example.com,03883890164,Computer Science & Engineering (CSE),2016,7.95,"Cybersecurity,React,DevOps,Java,TensorFlow",5,1,1,1,3,0,84,1,2166,0.49,Chanchal Prashad,Gabriel Dua,"97/348, Kale Street, Khammam-386452"
10,Ekani Nayak,Female,2003-05-15,fkapadia@example.com,+919575311877,Computer Science & Engineering (CSE),2016,7.11,"Kubernetes,DevOps,SQL,C++,Docker",3,3,2,1,3,0,77,87,1616,0.31,Xalak Munshi,Aarna Sama,"H.No. 42
Chowdhury Zila
Bettiah-832999"
